workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
Charm,revivecharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,growthgroupusa.com,reserve,3,0,3,0,3,0,0,,2026-04-30,False
Hello Hero,myhelloheroes.com,burned,52,18,34,34,0,18,0,2026-04-28,2026-04-30,False
Hello Hero,usahellohero.com,live,52,16,36,36,0,15,1,2026-04-28,2026-04-30,False
Hello Hero,gethellohero.com,live,52,15,37,37,0,15,0,2026-04-28,2026-04-30,False
Hello Hero,helloheroamerica.com,live,52,14,38,38,0,14,0,2026-04-28,2026-04-30,False
Hello Hero,usehellohero.com,live,52,13,39,39,0,12,1,2026-04-28,2026-04-30,False
Hello Hero,gohellohero.com,burned,52,12,40,40,0,12,0,2026-04-28,2026-04-30,False
Hello Hero,ourhellohero.com,live,52,12,40,40,0,12,0,2026-04-28,2026-04-30,False
Hello Hero,starthellohero.com,live,52,11,41,41,0,11,0,2026-04-28,2026-04-30,False
Hello Hero,lovehellohero.com,live,52,8,44,44,0,8,0,2026-04-28,2026-04-30,False
Hello Hero,tryhellohero.com,live,52,7,45,45,0,7,0,2026-04-28,2026-04-30,False
Linkgraph,tracklinkgraph.com,live,3,3,0,0,0,3,0,2026-04-15,,True
Linkgraph,growlinkgraph.com,burned,52,6,46,46,0,6,0,2026-04-21,2026-04-30,False
Linkgraph,launchlinkgraph.com,burned,52,4,48,48,0,4,0,2026-04-28,2026-04-30,False
Linkgraph,boostlinkgraph.com,burned,52,4,48,48,0,4,0,2026-04-28,2026-04-30,False
Linkgraph,ignitelinkgraph.com,live,3,2,1,1,0,2,0,2026-04-21,2026-04-30,False
Linkgraph,fuellinkgraph.com,live,3,1,2,2,0,1,0,2026-04-22,2026-04-30,False
Linkgraph,elevatelinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,scalelinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,explorelinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,optimizelinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,maplinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,analyzelinkgraph.com,live,52,0,52,52,0,0,0,,2026-04-30,False
Linkgraph,amplifylinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Linkgraph,discoverlinkgraph.com,live,3,0,3,3,0,0,0,,2026-04-30,False
SPUI,stylespui.com,live,3,3,0,0,0,3,0,2026-02-14,,True
SPUI,gridspui.com,live,3,3,0,0,0,3,0,2026-03-19,,True
SPUI,setspui.com,reserve,1,1,0,0,0,1,0,2026-02-14,,True
SPUI,fitspui.com,live,3,2,1,1,0,2,0,2026-02-14,2026-04-30,False
SPUI,buildspui.com,live,3,2,1,1,0,2,0,2026-04-30,2026-04-30,False
SPUI,getspui.com,unassigned,52,1,51,51,0,1,0,2026-04-17,2026-04-30,False
